"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"01.04.2024","10.045,74","9.234,48","10.132,88","8.903,17","52,72B","9,88%"
"01.03.2024","9.142,40","9.218,30","9.368,51","8.695,39","58,70B","-0,56%"
"01.02.2024","9.193,69","8.514,47","9.450,48","8.514,47","72,96B","8,20%"
"01.01.2024","8.496,66","7.542,25","8.577,35","7.386,99","57,71B","13,74%"
"01.12.2023","7.470,18","8.071,48","8.120,50","7.202,88","47,42B","-6,02%"
"01.11.2023","7.948,60","7.568,86","8.149,44","7.297,00","55,42B","5,78%"
"01.10.2023","7.514,10","8.374,60","8.562,70","7.384,45","85,09B","-9,85%"
"01.09.2023","8.334,94","7.966,65","8.403,81","7.644,68","97,87B","5,27%"
"01.08.2023","7.917,93","7.209,59","8.013,52","7.113,31","116,64B","9,71%"
"01.07.2023","7.216,96","5.867,23","7.256,61","5.867,23","101,33B","25,31%"
"01.06.2023","5.759,11","4.928,63","5.766,58","4.928,63","60,86B","17,85%"
"01.05.2023","4.886,91","4.628,36","4.982,86","4.311,41","56,50B","5,82%"
"01.04.2023","4.617,93","4.806,40","5.198,39","4.578,14","39,80B","-4,05%"
"01.03.2023","4.812,93","5.258,74","5.503,09","4.752,91","71,46B","-8,10%"
"01.02.2023","5.237,33","4.998,82","5.320,40","4.186,01","45,72B","5,24%"
"01.01.2023","4.976,55","5.568,43","5.704,83","4.601,25","95,28B","-9,67%"
"01.12.2022","5.509,16","5.046,30","5.562,98","4.711,43","119,28B","10,68%"
"01.11.2022","4.977,64","3.987,44","4.988,68","3.987,44","126,61B","25,10%"
"01.10.2022","3.978,96","3.195,81","4.015,62","3.195,81","92,88B","25,12%"
"01.09.2022","3.179,99","3.168,41","3.715,28","3.048,67","125,67B","0,28%"
"01.08.2022","3.171,21","2.600,28","3.198,99","2.600,28","111,65B","22,33%"
"01.07.2022","2.592,38","2.408,64","2.593,57","2.359,09","44,31B","7,78%"
"01.06.2022","2.405,36","2.554,28","2.684,77","2.367,78","65,05B","-5,56%"
"01.05.2022","2.547,09","2.460,80","2.553,51","2.346,12","56,81B","4,79%"
"01.04.2022","2.430,55","2.238,73","2.562,28","2.230,35","92,87B","8,83%"
"01.03.2022","2.233,30","1.969,13","2.245,03","1.946,48","66,08B","14,75%"
