Tarih,Ac?l?s_Altin,Hac.Altin,Ac?l?s_BIST,Hac.BIST,Ac?l?s_Dax,Hac.Dax,Ac?l?s_Dolar,Hac._Dolar,Ac?l?s_Dow,Hac._Dow,Ac?l?s_Petrol,Hac._Petrol,Ac?l?s_NASDAQ,Hac._NASDAQ,Ac?l?s_Nikkei,Hac._Nikkei,Ac?l?s_SP500,Hac._SP500,ABD_Tufe,Reel_Faiz_Orani
01.03.2024,2052.8,"4,74M",9218.3,"58,70B",17795.149999999998,"75,72M",104.06,"300,76K",38989.51,"7,40B",78.28,"5,50M",16109.83,"23,15B",39254.689999999995,"25,19B",5098.51,NA,0.646416994,1.92596928
01.02.2024,2047.7,"384,71K",8514.47,"72,96B",16834.129999999997,"1,47B",103.38,"298,44K",38175.340000000004,"6,33B",75.96,"6,04M",15254.02,"21,72B",36008.56,"24,34B",4861.110000000001,NA,0.618967178,1.6168231
01.01.2024,2072.7,"3,84M",7542.25,"57,71B",16828.75,"1,47B",101.065,"306,31K",37566.219999999994,"7,19B",71.71,"6,50M",14873.7,"21,22B",33193.05,"20,82B",4745.2,NA,0.54475038,1.68087145
01.12.2023,2049,"251,34K",8071.48,"47,42B",16296.92,"1,32B",103.29,"253,08K",35914.450000000004,"6,37B",75.59,"5,25M",14181.349999999999,"23,68B",33537.44,"20,79B",4559.429999999999,NA,-0.099332033,1.68089907
01.11.2023,1993.3,"3,67M",7568.860000000001,"55,42B",14851.96,"1,62B",106.53,"352,39K",33081.87,"6,33B",81.31,"322,17K",12887.06,"19,77B",31311.22,"21,21B",4201.2699999999995,NA,-0.201513955,2.09432864
01.10.2023,1864.4,"4,66M",8374.6,"85,09B",15439.96,"1,51B",105.88,"351,08K",33455.5,"6,72B",90.88,"346,01K",13217.99,"19,19B",32101.97,"20,96B",4284.52,NA,-0.038337952,2.08246076
01.09.2023,1966.4,"3,09M",7966.6500000000005,"97,87B",15936.34,"1,48B",103.585,"323,10K",34876.24,"6,25B",83.63,"5,93M",14129.96,"19,74B",32521.149999999998,"21,03B",4530.6,NA,0.248513155,1.69970754
01.08.2023,2004.2,"3,17M",7209.59,"116,64B",16414.79,"1,35B",101.66,"326,60K",35585.99,"7,16B",81.64,"299,42K",14274.93,"21,07B",33292.310000000005,"19,73B",4578.83,NA,0.436715507,1.60209539
01.07.2023,1945.4,"246,57K",5867.23,"101,33B",16187.91,"1,34B",102.645,"282,98K",34369.78,"6,44B",70.46,"297,27K",13798.7,"19,25B",33517.6,"19,24B",4450.48,NA,0.190751502,1.4260473
01.06.2023,1981.3,"3,65M",4928.63,"60,86B",15744.01,"1,66B",104.105,"272,42K",32929.850000000006,"7,04B",67.6,"6,16M",12944.46,"25,04B",30886.01,"20,94B",4183.03,NA,0.322891424,1.06063107
